GruppoDettaglio,OreSettimanali
insegnanti - in servizio,1.0
insegnanti - non in servizio,3.0
insegnanti - non in servizio,2.0
insegnanti - in servizio,3.0
insegnanti - in servizio,5.0
insegnanti - non in servizio,1.0
insegnanti - in servizio,4.0
insegnanti - in servizio,4.0
insegnanti - in servizio,2.0
insegnanti - in servizio,0.0
insegnanti - in servizio,1.0
insegnanti - in servizio,0.0
insegnanti - in servizio,2.0
insegnanti - in servizio,5.0
insegnanti - in servizio,3.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,2.0
insegnanti - in servizio,0.0
insegnanti - in servizio,1.0
insegnanti - in servizio,2.0
insegnanti - in servizio,2.0
insegnanti - in servizio,0.0
insegnanti - in servizio,2.0
insegnanti - in servizio,4.0
insegnanti - in servizio,2.0
insegnanti - in servizio,6.0
insegnanti - in servizio,3.0
insegnanti - in servizio,0.0
insegnanti - in servizio,2.0
insegnanti - in servizio,8.0
insegnanti - in servizio,0.0
insegnanti - in servizio,15.0
insegnanti - in servizio,2.0
insegnanti - in servizio,0.0
insegnanti - in servizio,0.0
insegnanti - in servizio,2.0
insegnanti - in servizio,2.0
insegnanti - in servizio,2.0
insegnanti - in servizio,1.0
insegnanti - in servizio,2.0
insegnanti - in servizio,1.0
insegnanti - in servizio,8.0
insegnanti - in servizio,1.0
insegnanti - in servizio,0.0
insegnanti - in servizio,4.0
insegnanti - in servizio,3.0
insegnanti - in servizio,1.0
insegnanti - in servizio,5.0
insegnanti - in servizio,3.0
insegnanti - in servizio,1.0
insegnanti - in servizio,0.0
insegnanti - in servizio,1.0
insegnanti - in servizio,0.0
insegnanti - in servizio,6.0
insegnanti - in servizio,2.0
insegnanti - in servizio,1.0
studenti - universitari,5.0
studenti - universitari,5.0
studenti - universitari,2.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,4.0
studenti - universitari,2.0
studenti - universitari,0.0
studenti - universitari,4.0
studenti - universitari,3.0
studenti - universitari,0.0
studenti - universitari,2.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,10.0
studenti - universitari,2.0
studenti - universitari,4.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,1.0
studenti - universitari,0.0
studenti - universitari,3.0
studenti - universitari,0.0
studenti - universitari,2.0
studenti - universitari,6.0
studenti - universitari,10.0
studenti - universitari,5.0
studenti - universitari,2.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,1.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,2.0
studenti - universitari,4.0
studenti - universitari,0.0
studenti - universitari,9.0
studenti - universitari,2.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,0.0
studenti - universitari,3.0
studenti - universitari,0.0
studenti - universitari,5.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,3.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,4.0
studenti - universitari,2.0
studenti - universitari,0.0
studenti - universitari,1.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,4.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,0.0
studenti - universitari,1.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,5.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,4.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,3.0
studenti - universitari,0.0
studenti - universitari,2.0
studenti - universitari,5.0
studenti - universitari,1.0
studenti - universitari,3.0
studenti - universitari,2.0
studenti - universitari,5.0
studenti - universitari,7.0
studenti - universitari,3.0
studenti - universitari,8.0
studenti - universitari,2.0
studenti - universitari,0.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,18.0
studenti - universitari,4.0
studenti - universitari,3.0
studenti - universitari,0.0
studenti - universitari,4.0
studenti - universitari,3.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,7.0
studenti - universitari,2.0
studenti - universitari,3.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,2.0
studenti - universitari,2.0
studenti - universitari,2.0
studenti - universitari,3.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,6.0
studenti - universitari,7.0
studenti - universitari,3.0
studenti - universitari,1.0
studenti - universitari,0.0
studenti - universitari,2.0
studenti - universitari,4.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,5.0
studenti - universitari,2.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,1.0
studenti - universitari,2.0
studenti - universitari,3.0
studenti - universitari,5.0
studenti - universitari,5.0
