GruppoDettaglio,Eta
insegnanti - in servizio,34.0
insegnanti - in servizio,31.0
insegnanti - in servizio,40.0
insegnanti - in servizio,38.0
insegnanti - in servizio,30.0
insegnanti - in servizio,31.0
insegnanti - in servizio,43.0
insegnanti - in servizio,40.0
insegnanti - in servizio,34.0
studenti - universitari,26.0
studenti - universitari,29.0
studenti - universitari,45.0
studenti - universitari,21.0
studenti - universitari,19.0
studenti - universitari,21.0
studenti - universitari,20.0
studenti - universitari,20.0
studenti - universitari,49.0
studenti - universitari,19.0
studenti - universitari,22.0
studenti - universitari,19.0
studenti - universitari,19.0
studenti - universitari,19.0
studenti - universitari,20.0
studenti - universitari,20.0
studenti - universitari,20.0
studenti - universitari,19.0
studenti - universitari,20.0
studenti - universitari,18.0
studenti - universitari,20.0
studenti - universitari,50.0
studenti - universitari,18.0
studenti - universitari,19.0
studenti - universitari,21.0
studenti - universitari,31.0
studenti - universitari,22.0
studenti - universitari,48.0
studenti - universitari,23.0
studenti - universitari,26.0
studenti - universitari,24.0
studenti - universitari,44.0
studenti - universitari,20.0
studenti - universitari,58.0
studenti - universitari,20.0
studenti - universitari,19.0
studenti - universitari,20.0
studenti - universitari,21.0
studenti - universitari,19.0
studenti - universitari,19.0
studenti - universitari,19.0
studenti - universitari,21.0
studenti - universitari,19.0
studenti - universitari,20.0
studenti - universitari,21.0
studenti - universitari,20.0
studenti - universitari,19.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,24.0
studenti - universitari,21.0
studenti - universitari,23.0
studenti - universitari,20.0
studenti - universitari,45.0
studenti - universitari,49.0
studenti - universitari,41.0
studenti - universitari,29.0
studenti - universitari,24.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,25.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,25.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,25.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,24.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,24.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,26.0
studenti - universitari,26.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,21.0
studenti - universitari,22.0
studenti - universitari,24.0
studenti - universitari,22.0
studenti - universitari,24.0
studenti - universitari,32.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,24.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,24.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,24.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,25.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,26.0
studenti - universitari,24.0
studenti - universitari,27.0
studenti - universitari,21.0
studenti - universitari,22.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,23.0
studenti - universitari,24.0
studenti - universitari,22.0
studenti - universitari,24.0
studenti - universitari,22.0
studenti - universitari,22.0
studenti - universitari,42.0
studenti - universitari,29.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,19.0
studenti - secondaria,18.0
studenti - secondaria,18.0
studenti - secondaria,18.0
studenti - secondaria,18.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,15.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,17.0
studenti - secondaria,14.0
studenti - secondaria,16.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,15.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,15.0
studenti - secondaria,14.0
studenti - secondaria,14.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,14.0
studenti - secondaria,15.0
studenti - secondaria,14.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,18.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,18.0
studenti - secondaria,17.0
studenti - secondaria,18.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,17.0
studenti - secondaria,17.0
studenti - secondaria,15.0
studenti - secondaria,16.0
studenti - universitari,17.0
studenti - secondaria,17.0
studenti - secondaria,16.0
studenti - secondaria,16.0
studenti - secondaria,16.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,40.0
studenti - secondaria,15.0
studenti - secondaria,16.0
studenti - secondaria,15.0
studenti - secondaria,17.0
studenti - secondaria,16.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,16.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,16.0
studenti - secondaria,16.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,15.0
studenti - secondaria,16.0
studenti - secondaria,18.0
studenti - secondaria,19.0
studenti - secondaria,20.0
studenti - secondaria,19.0
studenti - secondaria,18.0
studenti - universitari,24.0
